channelTitle,video_category_name,video_count,avg_views,avg_engagement
7 Minutoz,Music,290,1382134.8896551724,0.07082421238324135
7008films,Autos & Vehicles,63,248089.0,0.03682588176543698
7FATES: CHAKHO by HYBE,People & Blogs,6,7092521.333333333,0.08626171008977022
7o ano EF - CMSP,Education,64,63736.671875,0.019194927296158057
88rising,Music,8,8882494.875,0.0187127989735738
88rising,Entertainment,3,2346224.0,0.03149354436559874
8o ano EF - CMSP,Education,43,61507.09302325582,0.018676494421173417
A Batcaverna,Entertainment,15,71768.53333333334,0.07728047365632996
A Casa Dos Bichos,Education,15,197530.0,0.05461048807490645
A Culpa É de Quem?,Music,7,306552.14285714284,0.008099466005852126
A Família Boni,People & Blogs,8,54267.5,0.07612737773085937
A Fazenda,Entertainment,1003,525548.3998005982,0.014835486111385776
A Filha do Embaixador - Sefirin Kızı,Entertainment,23,191884.47826086957,0.01328397562993871
A Grande Conquista,Entertainment,6,81179.66666666667,0.014035680144081386
A Matilha,Music,6,76912.0,0.10228328339933128
A Noruega e Eu.,People & Blogs,73,122801.64383561644,0.08101510396724325
A Praça É Nossa,Entertainment,9,584241.4444444445,0.014564773202520302
A Quarta Força,Sports,30,95896.4,0.033508173755439255
A Roda,Autos & Vehicles,18,176528.27777777778,0.019615616269857514
A Tarde é Sua,Entertainment,15,310194.8,0.01866796596468221
A24,Film & Animation,96,2682176.2083333335,0.010553186376163403
ABBA,Music,6,2366269.5,0.013143039404976098
ABC,Entertainment,31,2467857.709677419,0.0296046950527301
ABC News,News & Politics,23,4595461.434782608,0.006571562309684331
ABE Tv,Entertainment,6,167902.5,0.05315045059267861
AC Milan,Sports,8,3744205.875,0.01619898723372499
AC/DC,Music,8,851969.875,0.025088610883793362
ACF,Autos & Vehicles,28,145949.7857142857,0.04761183456137876
AD MUSIC & VAQUEJADA,Sports,10,221169.2,0.010503953614797846
AD MUSIC & VAQUEJADA,Music,8,177285.75,0.010631105734500754
AD0LFzZ,Gaming,15,277628.5333333333,0.031477415751001124
ADR PORTAL,People & Blogs,10,2265582.2,0.02874745840243521
AFP Português,News & Politics,52,434653.51923076925,0.007723310100629135
AJF LEAGUE,Gaming,13,272555.53846153844,0.032517633062445525
AJF League,Gaming,1,543568.0,0.02689083978453478
AKMU,Music,4,4942678.75,0.04892627170402704
AL3XEY,Gaming,18,258837.11111111112,0.01564790244229516
ALEX SOARES OFICIAL,Music,6,53049.333333333336,0.2908314719103371
ALL THE K-POP,Entertainment,5,898073.2,0.02696370192292118
ALLISON ZO DETONA FUNK,Music,28,184900.10714285713,0.021351506338351523
ALVXARO,People & Blogs,8,133918.875,0.05251087653913252
AM3NlC,People & Blogs,498,491135.8915662651,0.05006551460664697
AMUSIK,Music,19,580480.2105263158,0.027455986042460204
AMÉM,Music,8,274632.5,0.034202300313550024
ANALAGA,Music,6,146545.16666666666,0.02602584010911439
ANAVITÓRIA,Entertainment,30,322381.9,0.04243530462656352
ANAVITÓRIA,Music,36,319548.6111111111,0.06028079851060773
ANTIGAMENTE ERA ASSIM,People & Blogs,5,85243.4,0.018281953139303163
AOMGOFFICIAL,Entertainment,7,2824944.8571428573,0.059656208453431794
AOMGOFFICIAL,Music,9,1795571.0,0.08982564164314694
ARK: Survival Ascended,Gaming,6,1516037.6666666667,0.021712539588461144
AS PURAS DO FUNK,Music,9,562679.1111111111,0.010098463516227094
ASTRO 아스트로,Music,6,2568257.8333333335,0.05178303706267129
ATAQUE DEFESA,Sports,9,134735.44444444444,0.017100802142335635
ATEEZ,Music,45,1168876.911111111,0.09636341545354765
AV Mais,Sports,4,53663.25,0.027358121067427014
AXN Brasil,Entertainment,15,146690.06666666668,0.010538859867648317
AbbaVEVO,Music,14,10414282.42857143,0.011767895122858437
Abbot,Music,5,168436.0,0.07187479942602053
Abeia,Gaming,8,101988.25,0.011553943923612458
Abner Henrique,Comedy,6,199756.5,0.04284446087156277
Abner Pinheiro,Comedy,34,417098.85294117645,0.05888035014528207
Abud - Shorts,People & Blogs,37,621355.2702702703,0.03761411133381507
Abud Sadek,Entertainment,19,958798.7368421053,0.05457267573056122
Acelerados,Autos & Vehicles,275,234426.25818181818,0.03893195989770013
Adam,People & Blogs,44,150315.61363636365,0.062054413076378045
Adauto,Entertainment,13,45175.769230769234,0.02487462258266939
Addison Rae,People & Blogs,9,9899453.777777778,0.028816094792225008
Adele,Music,7,674916.7142857143,0.04471429747137066
AdeleVEVO,Music,60,17787295.966666665,0.018162815360468283
Adeline Camargo,People & Blogs,260,197979.5846153846,0.0651236126477952
Adeline Camargo,Entertainment,255,196432.05098039214,0.06522338390345997
Adeline Camargo,Gaming,5,159460.0,0.08487801791333759
Adeline Camargo Flix,Entertainment,9,79073.77777777778,0.06998002249441337
Adeline Camargo Flix,People & Blogs,21,74065.42857142857,0.06835509552140295
Ademir Quintino,Entertainment,20,35328.25,0.04925738196609182
Adilson Figueira,People & Blogs,56,307324.1964285714,0.023762905575951166
Adrenaline,Science & Technology,35,204727.74285714285,0.039893900600218545
Adriano Flores Shorts,People & Blogs,7,320121.71428571426,0.047151879851766505
Adriel Sousa,People & Blogs,9,1523362.4444444445,0.03124777654950972
Adson e Alana,Music,26,284356.1538461539,0.01972404468050426
Adult Swim,Entertainment,13,8546963.76923077,0.015471284101501882
Adult Swim,Film & Animation,15,2644629.0,0.015894780707757242
Aero Por Trás da Aviação,Entertainment,194,407760.78350515466,0.037802661727970685
Aerocast,People & Blogs,8,145963.25,0.02048804283822004
Afinco,Sports,43,82244.3953488372,0.044953620494992415
Afonso Padilha,People & Blogs,19,114109.73684210527,0.06251173750430258
Ag. Fight,Sports,35,150225.91428571427,0.025729007142086726
Agatha Camargo,Entertainment,9,66044.77777777778,0.07570966355535587
Agridoce,Music,5,83463.8,0.0512922989791005
AgroPlay,Music,68,1452757.455882353,0.02060244408816228
AgroPlay - Topic,Music,8,140065.625,0.009815749733306425
Agroplay - Topic,Music,9,89490.44444444444,0.012258236920453271
Aice,People & Blogs,5,108187.6,0.01190750502469665
Ailson Costta,People & Blogs,19,403668.1052631579,0.021806412500016276
Ainda não sei!,Entertainment,83,1356635.9518072288,0.04764616824163484
Aka Rasta,Music,22,483389.7272727273,0.06170300438008747
Akashi Cruz,Music,10,113062.1,0.06582589858364646
Akatu Oficial,Music,18,1030070.2777777778,0.002272641574918697
Akira,Gaming,7,47821.57142857143,0.07226030796212705
Akira Border Collie,People & Blogs,6,136686.16666666666,0.009233280246016662
Akumoto,Gaming,10,143539.2,0.04756432182523763
Al3xeyBlox,Gaming,7,73773.0,0.026218444832874076
Al3xeyGames,Gaming,4,69966.25,0.01674158815477889
Alan Becker,Film & Animation,115,7409223.226086956,0.023665461497885565
Alan Spadone,Education,4,17648.25,0.055069950344180524
Alaska,Music,10,241921.5,0.050552419444815214
Alaska,People & Blogs,9,195231.55555555556,0.0632239086852722
Alceu Valença,Music,8,200020.75,0.0283305661313752
Aldeia Records,Music,5,311711.2,0.07708793342875968
Aldeia Records,Entertainment,7,111222.71428571429,0.07239607659627675
Ale Canofre,People & Blogs,7,54577.71428571428,0.09424651331764655
Ale Pastel estilo de vida simples,People & Blogs,24,84102.25,0.05558928941837857
Alef Torrez,People & Blogs,6,142338.0,0.0901011818135336
AlemaoDoForroOficial,Music,7,104235.28571428571,0.012040402212528322
Alerta Corinthians 🚨,Sports,8,164110.25,0.021441959261138465
Alessandra Santos,People & Blogs,6,94665.5,0.03208969090967557
Alessandra Santos Pastel,People & Blogs,18,226955.16666666666,0.046509880269225895
Alesso,Music,8,2568132.625,0.020949538420280578
Alesson,People & Blogs,7,97960.42857142857,0.06311807137435213
Alex Atala,People & Blogs,9,219231.66666666666,0.052950752037205645
"Alex Bagé - Grêmio, Futebol e outras Resenhas.",People & Blogs,15,92598.2,0.03915761373554967
"Alex Bagé - Grêmio, Futebol e outras Resenhas.",Entertainment,4,79819.5,0.035095599932779865
Alex Coimbra,Science & Technology,5,89061.6,0.055836788297438024
Alex Müller,People & Blogs,6,48406.5,0.06167966951474451
AlexPoatanPereira,Sports,8,909566.5,0.023493731954643743
Alexa Real,Gaming,5,5387875.4,0.0092637764343537
Alexander Hymans,People & Blogs,6,112199.83333333333,0.059416582310513034
Alexandre Porpetone,Comedy,14,130119.28571428571,0.0354509051287266
Ali e Aqui,Entertainment,7,33091.57142857143,0.07394280353616023
Alice Salazar,People & Blogs,6,36483.333333333336,0.055295139596568316
Aline Barros,Music,10,135816.7,0.03219607201090906
Aline Barros - Topic,Music,14,63543.42857142857,0.009256836464965227
Aline Füchter Ouriques,Entertainment,4,1509266.25,0.031594056447301046
Aline Rodriguês,People & Blogs,46,116982.54347826086,0.060147034873061424
Aline vida de Mãe ,People & Blogs,10,102916.0,0.0
AlineBarrosVEVO,Music,70,486832.5142857143,0.013660829961928926
Alinne Rosa,Music,7,126397.42857142857,0.011441579359082969
Alisshow,Gaming,6,615637.8333333334,0.031340453809630055
Alisson Nobre,Comedy,12,128720.5,0.028154356903573263
All Blacks,Sports,6,3219324.1666666665,0.011186368082228814
All Elite Wrestling,Entertainment,7,6456813.857142857,0.022698516419199156
All Elite Wrestling,Sports,7,4459992.285714285,0.01515317488810467
All-Star Brasil,Music,4,175791.25,0.04380569706560129
Allana Macedo,Music,40,979170.675,0.010173670315883822
AllissonGOD,Gaming,28,135453.35714285713,0.04682446144541434
Allure,Entertainment,4,2601285.0,0.0359774338554418
Almanaque SOS,Entertainment,68,755402.3676470588,0.04770799656383075
Almanaque x,Entertainment,9,897228.4444444445,0.023792314268260797
Almeida Fla,Sports,13,231112.46153846153,0.033612746497749244
Alok,Music,127,1171327.9133858269,0.037555483546176736
Alok - Topic,Music,20,620656.75,0.022270137875186932
Alok Game Changer,Music,8,1965499.125,0.06811048093587804
Alok Game Changer,Gaming,50,781918.04,0.05332600809201242
AlokVEVO,Music,7,977833.1428571428,0.05142866627690259
Alto Giro Motos e Preparações,People & Blogs,6,196541.0,0.056225363103566295
Além da Loucura ADL,Music,18,2299899.4444444445,0.05538831615306671
Alê Oliveira,Entertainment,7,114182.71428571429,0.046727083473869044
Alê Oliveira,People & Blogs,4,101257.5,0.05021236367776797
Amado Batista,Music,74,577683.6891891892,0.008293603711374215
Amanda Ataíde,Pets & Animals,16,292404.4375,0.03550465631319766
Amanda Bolito,Entertainment,6,151222.5,0.015158123092558096
Amanda Branciforte,People & Blogs,131,191858.77099236642,0.013828742155729627
Amanda Curvelo,People & Blogs,8,290819.875,0.04399147496686536
Amanda Domenico,Howto & Style,15,536606.6666666666,0.05101882554853167
Amanda Ferreira,Entertainment,9,1846298.6666666667,0.03840982431093993
Amanda Maria,Entertainment,38,103733.71052631579,0.08530343138588437
Amanda React,Entertainment,34,955180.4117647059,0.025810339588446782
Amanda Silva,People & Blogs,77,92886.98701298701,0.052459289152084934
Amanda Wanessa,Music,15,228193.73333333334,0.023140593282053083
Amandinha,Music,9,262204.77777777775,0.0243630547889271
Amandinha,Gaming,6,131489.16666666666,0.014251630193689635
Amazon Music,Music,8,135617.5,0.02884895908796828
Amazon Prime Video,Entertainment,7,1683319.857142857,0.015092349557754778
Amazon Prime Video Brasil,Film & Animation,20,1215197.65,0.020651590992727408
Amazon Prime Video Brasil,Entertainment,26,186002.23076923078,0.02224915825928122
Ambiente de Kant,Music,8,133602.25,0.03806022677322528
Amdré Young,Entertainment,17,201813.11764705883,0.07425504022074217
Ameizim,Gaming,11,134484.0,0.018008192806921074
America's Got Talent,Entertainment,44,2693403.6363636362,0.022027337317262106
Americanas,Science & Technology,5,3106296.0,0.004326881901370138
Americanas,Entertainment,9,241796.66666666666,0.08181893287102238
Amistikka,Gaming,5,359017.4,0.0012088707011775404
Amo Pão Caseiro,Howto & Style,6,489983.3333333333,0.005648759613275998
Amo Receitas,Entertainment,7,343968.85714285716,0.005788434453687089
Amor Pela Comida,Howto & Style,9,706088.4444444445,0.002875652169772317
Amor Pela Comida,Education,12,91821.5,0.04567741532762428
Amorinha ChowChow,Entertainment,5,595647.0,0.033283085698799064
AmyCraftando,People & Blogs,10,195565.6,0.01291048151828388
América de Natal,Sports,7,43384.71428571428,0.009827004288580311
Ana Beatriz Barbosa Silva,Education,4,167571.75,0.0002801515464670325
Ana Carla,Entertainment,22,148177.68181818182,0.08483070625084808
Ana Castela,Music,188,2463456.255319149,0.016867594500550948
Ana Castela - Topic,Music,24,320535.75,0.015120724310836385
Ana Cecília,People & Blogs,38,143518.2894736842,0.053777167278638904
Ana Cristina Alves,Education,8,141461.875,0.03773963116866406
Ana Duarte,Education,27,1213989.0,0.03758896256876246
Ana Gabriela,Music,22,102565.09090909091,0.049042992252696954
Ana Landim vivendo nos EUA,People & Blogs,8,192605.125,0.04949628150757156
Ana Lídia Lopes,People & Blogs,45,110115.26666666666,0.06627834159502027
Ana Mosconi,People & Blogs,109,635710.7798165138,0.06839222753798187
Ana Mosconi,Entertainment,38,487356.86842105264,0.05600571649598794
Ana Moura,Comedy,39,392156.9743589744,0.0026832774198305006
Ana Oliveira Ramos,Entertainment,11,358135.0,0.05238808690407262
Ana Paula Nascimento,People & Blogs,10,287206.9,0.013574596483654753
Ana Toys games,Gaming,16,77940.6875,0.011410139840653031
Ana landim,People & Blogs,106,220553.12264150943,0.0474264481716279
Ananda,Music,33,225929.63636363635,0.051520073313378933
Ananda Morais,Music,12,417321.4166666667,0.06608148695694617
AnavitoriaVEVO,Music,32,416472.96875,0.056851172905069865
Anderson & Vei da Pisadinha - Topic,Music,19,1402460.3684210526,0.0052815071845037686
Anderson Freire - Topic,Music,19,296679.94736842107,0.0035005755554068075
Anderson Neiff - Topic,Music,5,532533.4,0.018400442979045493
Anderson Vieira,People & Blogs,9,160995.66666666666,0.05839263326082925
Andre 027,People & Blogs,9,469699.44444444444,0.030216272756900992
Andre Santi,Comedy,6,85068.66666666667,0.05553468692525312
Andressa Karoline,People & Blogs,5,186421.0,0.10925059161142178
Andressa Suita,People & Blogs,4,181520.0,0.01860536776822369
Andressa Urach Oficial,People & Blogs,5,602229.6,0.022449624260095828
Andressa Urach Oficial,Music,8,283498.25,0.03862988389358001
Andrezitos,Entertainment,9,143693.55555555556,0.04376112696889794
Andrezitos Gameplays,Gaming,25,197540.04,0.05587499284141795
Andrezitos Gameplays,Entertainment,6,109282.5,0.07523907799484582
Andrezza Acioli,Education,4,80232.5,0.025167014401542835
Andrielly e Joyce Stories,People & Blogs,7,370850.14285714284,0.018053180537476975
André Fittipaldi,Comedy,119,1704163.705882353,0.03373368855950948
André Hernan,Sports,86,147862.7441860465,0.03755778262795273
André Hernan,Entertainment,7,60109.71428571428,0.0319675777595567
